2017-11-25, Lincoln City, Port Vale, 3, 1, vs, TRUE
2017-11-25, Swindon Town, Newport County, 0, 1, vs, TRUE
2017-11-25, FG Rovers, Cheltenham, 1, 1, vs, TRUE
2017-11-25, Notts County, Colchester Utd, 2, 1, vs, TRUE
2017-11-25, Exeter City, Acc'ton Stanley, 2, 0, vs, TRUE
2017-11-25, Carlisle United, Morecambe, 1, 1, vs, TRUE
2017-11-25, Wycombe, Yeovil Town, 2, 1, vs, TRUE
2017-11-25, Cambridge Utd, Stevenage, 1, 0, vs, TRUE
2017-11-25, Crewe Alexandra, Luton Town, 1, 2, vs, TRUE
2017-11-25, Coventry City, Crawley Town, 1, 1, vs, TRUE
2017-11-25, Mansfield Town, Chesterfield, 2, 2, vs, TRUE
2017-12-09, Crawley Town, Mansfield Town, 2, 0, vs, TRUE
2017-12-09, Stevenage, Wycombe, 0, 0, vs, TRUE
2017-12-09, Grimsby Town, FG Rovers, 1, 0, vs, TRUE
2017-12-09, Colchester Utd, Exeter City, 3, 1, vs, TRUE
2017-12-09, Chesterfield, Barnet, 2, 1, vs, TRUE
2017-12-09, Yeovil Town, Lincoln City, 0, 2, vs, TRUE
2017-12-09, Newport County, Carlisle United, 3, 3, vs, TRUE
2017-12-09, Port Vale, Cambridge Utd, 2, 0, vs, TRUE
2017-12-09, Cheltenham, Crewe Alexandra, 1, 0, vs, TRUE
2017-12-09, Morecambe, Coventry City, 2, 0, vs, TRUE
2017-12-09, Luton Town, Notts County, 1, 1, vs, TRUE
2017-12-15, Swindon Town, Colchester Utd, 2, 3, vs, TRUE
2017-12-16, Crewe Alexandra, Crawley Town, 3, 0, vs, TRUE
2017-12-16, Cambridge Utd, Newport County, 1, 2, vs, TRUE
2017-12-16, Mansfield Town, Yeovil Town, 0, 0, vs, TRUE
2017-12-16, Coventry City, Cheltenham, 2, 1, vs, TRUE
2017-12-16, Carlisle United, Port Vale, 1, 2, vs, TRUE
2017-12-16, Barnet, Morecambe, 2, 1, vs, TRUE
2017-12-16, Wycombe, Chesterfield, 1, 0, vs, TRUE
2017-12-16, Lincoln City, Acc'ton Stanley, 2, 0, vs, TRUE
2017-12-16, Exeter City, Stevenage, 2, 1, vs, TRUE
2017-12-16, Notts County, Grimsby Town, 0, 0, vs, TRUE
2017-12-16, FG Rovers, Luton Town, 0, 2, vs, TRUE
2017-12-22, Coventry City, Wycombe, 3, 2, vs, TRUE
2017-12-23, Barnet, Cheltenham, 0, 2, vs, TRUE
2017-12-23, Newport County, Lincoln City, 0, 0, vs, TRUE
2017-12-23, Notts County, Cambridge Utd, 3, 3, vs, TRUE
2017-12-23, Yeovil Town, Exeter City, 3, 1, vs, TRUE
2017-12-23, Luton Town, Grimsby Town, 2, 0, vs, TRUE
2017-12-23, Crewe Alexandra, Swindon Town, 0, 3, vs, TRUE
2017-12-23, Stevenage, Chesterfield, 5, 1, vs, TRUE
2017-12-23, Mansfield Town, Morecambe, 2, 1, vs, TRUE
2017-12-23, FG Rovers, Carlisle United, 0, 1, vs, TRUE
2017-12-23, Colchester Utd, Port Vale, 1, 1, vs, TRUE
2017-12-23, Acc'ton Stanley, Crawley Town, 2, 3, vs, TRUE
2017-12-26, Morecambe, Notts County, 1, 4, vs, TRUE
2017-12-26, Cambridge Utd, Barnet, 1, 0, vs, TRUE
2017-12-26, Port Vale, Coventry City, 1, 0, vs, TRUE
2017-12-26, Lincoln City, Stevenage, 3, 0, vs, TRUE
2017-12-26, Chesterfield, Crewe Alexandra, 0, 2, vs, TRUE
2017-12-26, Carlisle United, Acc'ton Stanley, 3, 1, vs, TRUE
2017-12-26, Cheltenham, Yeovil Town, 0, 2, vs, TRUE
2017-12-26, Crawley Town, Colchester Utd, 0, 2, vs, TRUE
2017-12-26, Wycombe, Newport County, 2, 0, vs, TRUE
2017-12-26, Swindon Town, Luton Town, 0, 5, vs, TRUE
2017-12-26, Grimsby Town, Mansfield Town, 1, 1, vs, TRUE
2017-12-29, Morecambe, Yeovil Town, 4, 3, vs, TRUE
2017-12-30, Crawley Town, Stevenage, 1, 0, vs, TRUE
2017-12-30, Wycombe, Mansfield Town, 1, 2, vs, TRUE
2017-12-30, Lincoln City, FG Rovers, 2, 1, vs, TRUE
2017-12-30, Cheltenham, Newport County, 1, 1, vs, TRUE
2017-12-30, Swindon Town, Notts County, 1, 0, vs, TRUE
2017-12-30, Port Vale, Luton Town, 4, 0, vs, TRUE
2017-12-30, Chesterfield, Colchester Utd, 0, 0, vs, TRUE
2017-12-30, Grimsby Town, Acc'ton Stanley, 0, 3, vs, TRUE
2017-12-30, Exeter City, Barnet, 2, 1, vs, TRUE
2017-12-30, Cambridge Utd, Crewe Alexandra, 3, 1, vs, TRUE
2017-12-30, Carlisle United, Coventry City, 0, 1, vs, TRUE
2018-01-01, Luton Town, Lincoln City, 4, 2, vs, TRUE
2018-01-01, Barnet, Swindon Town, 1, 2, vs, TRUE
2018-01-01, Crewe Alexandra, Grimsby Town, 2, 0, vs, TRUE
2018-01-01, FG Rovers, Wycombe, 1, 2, vs, TRUE
2018-01-01, Stevenage, Cheltenham, 4, 1, vs, TRUE
2018-01-01, Coventry City, Chesterfield, 1, 0, vs, TRUE
2018-01-01, Colchester Utd, Cambridge Utd, 0, 0, vs, TRUE
2018-01-01, Newport County, Exeter City, 2, 1, vs, TRUE
2018-01-01, Yeovil Town, Crawley Town, 1, 2, vs, TRUE
2018-01-01, Notts County, Port Vale, 1, 0, vs, TRUE
2018-01-01, Mansfield Town, Carlisle United, 3, 1, vs, TRUE
2018-01-06, Grimsby Town, Morecambe, 0, 2, vs, TRUE
2018-01-06, Acc'ton Stanley, Chesterfield, 4, 0, vs, TRUE
2018-01-06, FG Rovers, Port Vale, 1, 0, vs, TRUE
2018-01-06, Colchester Utd, Cheltenham, 1, 4, vs, TRUE
2018-01-13, Chesterfield, Luton Town, 2, 0, vs, TRUE
2018-01-13, Carlisle United, Crewe Alexandra, 1, 0, vs, TRUE
2018-01-13, Exeter City, Coventry City, 1, 0, vs, TRUE
2018-01-13, Lincoln City, Notts County, 2, 2, vs, TRUE
2018-01-13, Crawley Town, Barnet, 2, 0, vs, TRUE
2018-01-13, Port Vale, Yeovil Town, 1, 1, vs, TRUE
2018-01-13, Cambridge Utd, Mansfield Town, 0, 0, vs, TRUE
2018-01-13, Swindon Town, FG Rovers, 1, 0, vs, TRUE
2018-01-13, Cheltenham, Acc'ton Stanley, 0, 2, vs, TRUE
2018-01-13, Grimsby Town, Newport County, 1, 2, vs, TRUE
2018-01-13, Wycombe, Colchester Utd, 3, 1, vs, TRUE
2018-01-13, Morecambe, Stevenage, 1, 1, vs, TRUE
2018-01-19, Newport County, Crawley Town, 2, 1, vs, TRUE
2018-01-20, Colchester Utd, Grimsby Town, 1, 1, vs, TRUE
2018-01-20, Acc'ton Stanley, Port Vale, 3, 2, vs, TRUE
2018-01-20, Mansfield Town, Cheltenham, 3, 2, vs, TRUE
2018-01-20, Barnet, Lincoln City, 1, 1, vs, TRUE
2018-01-20, Notts County, Exeter City, 1, 2, vs, TRUE
2018-01-20, Crewe Alexandra, Wycombe, 2, 3, vs, TRUE
2018-01-20, Luton Town, Morecambe, 1, 0, vs, TRUE
2018-01-20, Coventry City, Swindon Town, 3, 1, vs, TRUE
2018-01-20, FG Rovers, Cambridge Utd, 5, 2, vs, TRUE
2018-01-20, Stevenage, Carlisle United, 0, 0, vs, TRUE
2018-01-20, Yeovil Town, Chesterfield, 1, 2, vs, TRUE
2018-01-23, Notts County, Crawley Town, 1, 2, vs, TRUE
2018-01-23, Newport County, Morecambe, 1, 1, vs, TRUE
2018-01-27, Cheltenham, Barnet, 1, 1, vs, TRUE
2018-01-27, Port Vale, Colchester Utd, 2, 2, vs, TRUE
2018-01-27, Grimsby Town, Luton Town, 0, 1, vs, TRUE
