2014-08-02, Spirit, Red Stars, 2, 1, vs, TRUE
2014-08-03, Boston, Flash, 3, 4, vs, TRUE
2014-08-03, Thorns, Dash, 1, 0, vs, TRUE
2014-08-06, Kansas City, Boston, 2, 1, vs, TRUE
2014-08-06, Reign, Dash, 4, 1, vs, TRUE
2014-08-09, Dash, Sky Blue, 1, 3, vs, TRUE
2014-08-09, Red Stars, Kansas City, 2, 1, vs, TRUE
2014-08-09, Reign, Spirit, 1, 1, vs, TRUE
2014-08-10, Boston, Thorns, 2, 0, vs, TRUE
2014-08-13, Flash, Sky Blue, 2, 3, vs, TRUE
2014-08-13, Red Stars, Boston, 2, 0, vs, TRUE
2014-08-16, Red Stars, Flash, 3, 3, vs, TRUE
2014-08-16, Spirit, Sky Blue, 0, 1, vs, TRUE
2014-08-17, Boston, Dash, 1, 0, vs, TRUE
2014-08-17, Thorns, Reign, 1, 0, vs, TRUE
2014-08-20, Sky Blue, Dash, 1, 0, vs, TRUE
2014-08-23, Kansas City, Thorns, 2, 0, vs, FALSE
2014-08-24, Reign, Spirit, 2, 1, vs, FALSE
2014-08-31, Reign, Kansas City, 1, 2, vs, FALSE
2015-04-10, Dash, Spirit, 2, 0, vs, TRUE
2015-04-11, Thorns, Boston, 4, 1, vs, TRUE
2015-04-12, Kansas City, Sky Blue, 0, 1, vs, TRUE
2015-04-12, Reign, Flash, 5, 1, vs, TRUE
2015-04-18, Red Stars, Reign, 3, 2, vs, TRUE
2015-04-18, Sky Blue, Dash, 1, 1, vs, TRUE
2015-04-18, Spirit, Kansas City, 3, 1, vs, TRUE
2015-04-18, Thorns, Flash, 1, 0, vs, TRUE
2015-04-23, Kansas City, Reign, 1, 0, vs, TRUE
2015-04-25, Red Stars, Thorns, 2, 2, vs, TRUE
2015-04-26, Boston, Dash, 3, 2, vs, TRUE
2015-04-26, Sky Blue, Spirit, 1, 3, vs, TRUE
2015-05-02, Dash, Kansas City, 0, 2, vs, TRUE
2015-05-02, Flash, Boston, 3, 1, vs, TRUE
