1998-06-24, Los Angeles Sparks, Charlotte Sting, 73, 77, vs
1998-06-24, Phoenix Mercury, Houston Comets, 69, 66, vs
1998-06-25, Detroit Shock, Washington Mystics, 79, 71, vs
1998-06-25, Utah Starzz, Charlotte Sting, 83, 91, vs
1998-06-26, New York Liberty, Sacramento Monarchs, 62, 48, vs
1998-06-26, Phoenix Mercury, Utah Starzz, 96, 63, vs
1998-06-27, Charlotte Sting, Sacramento Monarchs, 58, 50, vs
1998-06-27, Cleveland Rockers, Detroit Shock, 73, 84, vs
1998-06-27, Houston Comets, Los Angeles Sparks, 75, 64, vs
1998-06-28, Washington Mystics, Phoenix Mercury, 69, 86, vs
1998-06-29, Detroit Shock, Charlotte Sting, 60, 49, vs
1998-06-29, Houston Comets, Washington Mystics, 73, 48, vs
1998-06-29, New York Liberty, Phoenix Mercury, 71, 68, vs
1998-06-30, Sacramento Monarchs, Los Angeles Sparks, 58, 56, vs
1998-06-30, Utah Starzz, Houston Comets, 73, 75, vs
1998-07-01, Detroit Shock, New York Liberty, 82, 65, vs
1998-07-01, Washington Mystics, Cleveland Rockers, 80, 92, vs
1998-07-02, Cleveland Rockers, Phoenix Mercury, 61, 76, vs
1998-07-02, Los Angeles Sparks, Utah Starzz, 57, 58, vs
1998-07-03, Houston Comets, Sacramento Monarchs, 84, 67, vs
1998-07-03, New York Liberty, Washington Mystics, 76, 60, vs
1998-07-04, Charlotte Sting, Phoenix Mercury, 68, 66, vs
1998-07-05, Sacramento Monarchs, Utah Starzz, 70, 66, vs
1998-07-05, Washington Mystics, New York Liberty, 61, 62, vs
1998-07-06, Cleveland Rockers, Houston Comets, 64, 78, vs
1998-07-06, New York Liberty, Detroit Shock, 59, 56, vs
1998-07-06, Utah Starzz, Sacramento Monarchs, 68, 64, vs
1998-07-07, Los Angeles Sparks, Charlotte Sting, 86, 79, vs
1998-07-08, Cleveland Rockers, Washington Mystics, 77, 65, vs
1998-07-08, Detroit Shock, Phoenix Mercury, 76, 78, vs
1998-07-08, Los Angeles Sparks, Sacramento Monarchs, 71, 76, vs
1998-07-08, New York Liberty, Houston Comets, 54, 79, vs
1998-07-08, Utah Starzz, Charlotte Sting, 69, 77, vs
1998-07-09, Houston Comets, Detroit Shock, 96, 66, vs
1998-07-10, Phoenix Mercury, Cleveland Rockers, 76, 60, vs
1998-07-10, Sacramento Monarchs, Charlotte Sting, 55, 63, vs
1998-07-11, Houston Comets, Utah Starzz, 72, 68, vs
1998-07-11, Washington Mystics, Detroit Shock, 78, 53, vs
1998-07-12, Los Angeles Sparks, Cleveland Rockers, 87, 66, vs
1998-07-12, New York Liberty, Charlotte Sting, 57, 75, vs
1998-07-13, Houston Comets, Washington Mystics, 81, 67, vs
1998-07-13, Phoenix Mercury, Los Angeles Sparks, 72, 62, vs
1998-07-13, Utah Starzz, Detroit Shock, 67, 74, vs
1998-07-14, Sacramento Monarchs, Cleveland Rockers, 58, 61, vs
1998-07-15, Charlotte Sting, New York Liberty, 72, 65, vs
1998-07-15, Los Angeles Sparks, Sacramento Monarchs, 81, 76, vs
1998-07-15, Phoenix Mercury, Detroit Shock, 73, 60, vs
1998-07-16, Cleveland Rockers, New York Liberty, 60, 51, vs
1998-07-17, Charlotte Sting, Washington Mystics, 86, 56, vs
1998-07-17, Detroit Shock, Utah Starzz, 79, 67, vs
1998-07-17, Los Angeles Sparks, Houston Comets, 68, 74, vs
1998-07-18, Detroit Shock, Cleveland Rockers, 72, 57, vs
1998-07-18, Phoenix Mercury, New York Liberty, 63, 69, vs
1998-07-18, Sacramento Monarchs, Houston Comets, 44, 75, vs
1998-07-19, Cleveland Rockers, Charlotte Sting, 85, 69, vs
1998-07-19, Washington Mystics, Utah Starzz, 88, 99, vs
1998-07-20, Phoenix Mercury, Sacramento Monarchs, 88, 67, vs
1998-07-21, Los Angeles Sparks, New York Liberty, 77, 92, vs
1998-07-21, Phoenix Mercury, Houston Comets, 62, 65, vs
1998-07-21, Washington Mystics, Charlotte Sting, 67, 84, vs
1998-07-22, Charlotte Sting, Utah Starzz, 58, 61, vs
1998-07-22, Detroit Shock, Washington Mystics, 76, 61, vs
1998-07-23, Los Angeles Sparks, Phoenix Mercury, 70, 68, vs
1998-07-24, Sacramento Monarchs, New York Liberty, 54, 76, vs
1998-07-25, Charlotte Sting, Houston Comets, 58, 67, vs
1998-07-25, Cleveland Rockers, Utah Starzz, 69, 59, vs
1998-07-25, Detroit Shock, Los Angeles Sparks, 69, 67, vs
1998-07-26, New York Liberty, Detroit Shock, 78, 62, vs
1998-07-26, Washington Mystics, Sacramento Monarchs, 65, 79, vs
1998-07-27, Charlotte Sting, Sacramento Monarchs, 70, 76, vs
